OffwindRadians,Wind Speed,MaxV
0.558505369,0,0
0.62831854,0,0
0.698131711,0,0
0.785398175,0,0
0.907571224,0,0
1.047197567,0,0
1.221730494,0,0
1.396263422,0,0
1.57079635,0,0
1.745329278,0,0
1.919862206,0,0
2.094395133,0,0
2.356194525,0,0
2.617993917,0,0
2.792526844,0,0
2.967059772,0,0
3.1415927,0,0
0.558505369,4,2.34
0.62831854,4,2.73
0.698131711,4,3.08
0.785398175,4,3.46
0.907571224,4,3.9
1.047197567,4,4.29
1.221730494,4,4.6
1.396263422,4,4.73
1.57079635,4,4.68
1.745329278,4,4.47
1.919862206,4,4.23
2.094395133,4,3.99
2.356194525,4,3.39
2.617993917,4,2.73
2.792526844,4,2.32
2.967059772,4,2.11
3.1415927,4,1.96
0.558505369,6,3.57
0.62831854,6,4.12
0.698131711,6,4.61
0.785398175,6,5.11
0.907571224,6,5.67
1.047197567,6,6.12
1.221730494,6,6.46
1.396263422,6,6.59
1.57079635,6,6.54
1.745329278,6,6.31
1.919862206,6,6.13
2.094395133,6,5.82
2.356194525,6,5.06
2.617993917,6,4.14
2.792526844,6,3.53
2.967059772,6,3.2
3.1415927,6,2.99
0.558505369,8,4.68
0.62831854,8,5.33
0.698131711,8,5.86
0.785398175,8,6.4
0.907571224,8,6.99
1.047197567,8,7.46
1.221730494,8,7.77
1.396263422,8,7.88
1.57079635,8,7.84
1.745329278,8,7.67
1.919862206,8,7.59
2.094395133,8,7.28
2.356194525,8,6.49
2.617993917,8,5.45
2.792526844,8,4.71
2.967059772,8,4.28
3.1415927,8,4
0.558505369,10,5.58
0.62831854,10,6.24
0.698131711,10,6.77
0.785398175,10,7.32
0.907571224,10,7.87
1.047197567,10,8.25
1.221730494,10,8.51
1.396263422,10,8.61
1.57079635,10,8.58
1.745329278,10,8.53
1.919862206,10,8.47
2.094395133,10,8.27
2.356194525,10,7.67
2.617993917,10,6.6
2.792526844,10,5.8
2.967059772,10,5.31
3.1415927,10,4.98
0.558505369,12,5.25
0.62831854,12,6.86
0.698131711,12,7.37
0.785398175,12,7.84
0.907571224,12,8.29
1.047197567,12,8.64
1.221730494,12,8.94
1.396263422,12,9.08
1.57079635,12,9.08
1.745329278,12,8.99
1.919862206,12,9.03
2.094395133,12,8.91
2.356194525,12,8.46
2.617993917,12,7.6
2.792526844,12,6.79
2.967059772,12,6.27
3.1415927,12,5.91
0.558505369,14,6.71
0.62831854,14,7.3
0.698131711,14,7.75
0.785398175,14,8.15
0.907571224,14,8.54
1.047197567,14,8.86
1.221730494,14,9.18
1.396263422,14,9.42
1.57079635,14,9.49
1.745329278,14,9.39
1.919862206,14,9.4
2.094395133,14,9.4
2.356194525,14,9.04
2.617993917,14,8.33
2.792526844,14,7.68
2.967059772,14,7.17
3.1415927,14,6.77
0.558505369,16,7.03
0.62831854,16,7.59
0.698131711,16,7.98
0.785398175,16,8.35
0.907571224,16,8.68
1.047197567,16,9.03
1.221730494,16,9.36
1.396263422,16,9.63
1.57079635,16,9.83
1.745329278,16,9.79
1.919862206,16,9.64
2.094395133,16,9.8
2.356194525,16,9.53
2.617993917,16,8.86
2.792526844,16,8.35
2.967059772,16,7.93
3.1415927,16,7.56
0.558505369,20,7.4
0.62831854,20,7.9
0.698131711,20,8.26
0.785398175,20,8.61
0.907571224,20,8.94
1.047197567,20,9.29
1.221730494,20,9.65
1.396263422,20,9.97
1.57079635,20,10.27
1.745329278,20,10.47
1.919862206,20,10.35
2.094395133,20,10.35
2.356194525,20,10.48
2.617993917,20,9.76
2.792526844,20,9.31
2.967059772,20,8.99
3.1415927,20,8.7
0.558505369,25,7.61
0.62831854,25,8.11
0.698131711,25,8.47
0.785398175,25,8.76
0.907571224,25,9.16
1.047197567,25,9.53
1.221730494,25,9.94
1.396263422,25,10.31
1.57079635,25,10.65
1.745329278,25,10.98
1.919862206,25,11.25
2.094395133,25,11
2.356194525,25,11.63
2.617993917,25,10.93
2.792526844,25,10.41
2.967059772,25,10.04
3.1415927,25,9.72
0.558505369,30,7.69
0.62831854,30,8.22
0.698131711,30,8.59
0.785398175,30,8.89
0.907571224,30,9.31
1.047197567,30,9.7
1.221730494,30,10.16
1.396263422,30,10.57
1.57079635,30,10.99
1.745329278,30,11.44
1.919862206,30,11.9
2.094395133,30,12.17
2.356194525,30,12.61
2.617993917,30,12.6
2.792526844,30,11.78
2.967059772,30,11.2
3.1415927,30,10.74
0,4,-0.15
0,6,-0.4
0,8,-0.7
0,10,-1
0,12,-1.3
0,14,-1.6
0,16,-2
0,20,-2.5
0,25,-3
0,30,-3.6
